Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_Level_1,Effect_Level_2,Effect_Level_3,Effect_Level_4,Effect_Level_5,Flavor_1,Flavor_2,Flavor_3,Leafly_Name,Medicinal_1,Medicinal_2,Medicinal_3,Medicinal_4,Medicinal_5,Medicinal_Level_1,Medicinal_Level_2,Medicinal_Level_3,Medicinal_Level_4,Medicinal_Level_5,Name,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Negative_Level_1,Negative_Level_2,Negative_Level_3,Negative_Level_4,Negative_Level_5,Number_of_Reviews,Rating,Type
Relaxed,Euphoric,Uplifted,Sleepy,Energetic,width:100%,width:74%,width:58%,width:49%,width:24%,1. Nutty,2. Pineapple,3. Sweet,Ahi,Depression,Insomnia,Nausea,Stress,,width:100%,width:100%,width:100%,width:100%,,Afghan Hawaiian,Dry Mouth,Anxious,Dizzy,Paranoid,,width:100%,width:33%,width:33%,width:33%,,12,4.2,Indica
Creative,Giggly,Hungry,Happy,Relaxed,width:100%,width:72%,width:70%,width:66%,width:65%,1. Earthy,2. Diesel,3. Woody,Ahz,Fatigue,Lack of Appetite,Nausea,Inflammation,Stress,width:100%,width:77%,width:77%,width:73%,width:67%,Afghan Haze,Dry Mouth,Dry Eyes,Dizzy,Headache,Anxious,width:100%,width:86%,width:79%,width:9%,width:4%,57,4.4,Hybrid
Relaxed,Happy,Sleepy,Euphoric,Uplifted,width:100%,width:76%,width:73%,width:62%,width:51%,1. Earthy,2. Woody,3. Flowery,Afk,Pain,Stress,Insomnia,Depression,Lack of Appetite,width:100%,width:96%,width:86%,width:71%,width:50%,Afghan Kush,Dry Mouth,Dry Eyes,Dizzy,Paranoid,Headache,width:100%,width:65%,width:25%,width:22%,width:22%,1139,4.1,Indica
Euphoric,Uplifted,Hungry,Relaxed,Sleepy,width:100%,width:90%,width:84%,width:57%,width:54%,1. Skunk,2. Earthy,3. Woody,Afs,Stress,Insomnia,Lack of Appetite,Depression,Pain,width:100%,width:87%,width:82%,width:76%,width:52%,Afghan Skunk,Dry Mouth,Dry Eyes,Dizzy,Headache,Anxious,width:100%,width:71%,width:49%,width:46%,width:5%,55,4.4,Indica
Relaxed,Sleepy,Euphoric,Hungry,Aroused,width:100%,width:85%,width:85%,width:85%,width:57%,1. Earthy,2. Sweet,3. Diesel,Ask,Fatigue,Stress,Eye Pressure,Headaches,Insomnia,width:100%,width:100%,width:75%,width:75%,width:75%,Afghan Sour Kush,Dry Mouth,Dry Eyes,,,,width:100%,width:79%,,,,17,4.6,Indica
Energetic,Focused,Talkative,Relaxed,Hungry,width:100%,width:100%,width:96%,width:87%,width:84%,1. Pungent,2. Spicy/Herbal,3. Diesel,Aww,Stress,Eye Pressure,Fatigue,Inflammation,Lack of Appetite,width:100%,width:90%,width:90%,width:88%,width:88%,Afghan Widow,Dry Mouth,Dizzy,Headache,Dry Eyes,,width:100%,width:94%,width:94%,width:3%,,9,4.7,Hybrid
Relaxed,Sleepy,Euphoric,Happy,Tingly,width:100%,width:88%,width:69%,width:53%,width:32%,,,,Afg,Insomnia,Pain,Stress,Depression,Muscle Spasms,width:100%,width:89%,width:83%,width:53%,width:41%,Afghani,Dry Mouth,Dry Eyes,Headache,Dizzy,Anxious,width:100%,width:47%,width:22%,width:19%,width:17%,530,4.3,Indica
Focused,Hungry,Talkative,Relaxed,Happy,width:100%,width:98%,width:96%,width:81%,width:75%,1. Pine,2. Earthy,3. Berry,Abr,Stress,Pain,Lack of Appetite,Muscle Spasms,Insomnia,width:100%,width:88%,width:82%,width:77%,width:49%,Afghani Bullrider,Dry Mouth,Paranoid,Dry Eyes,Dizzy,Headache,width:100%,width:18%,width:8%,width:4%,width:2%,111,4.4,Indica
Creative,Relaxed,Sleepy,Happy,Euphoric,width:100%,width:54%,width:43%,width:39%,width:19%,1. Berry,2. Flowery,3. Spicy/Herbal,Acb,Inflammation,Stress,Insomnia,Pain,Muscle Spasms,width:100%,width:39%,width:19%,width:18%,width:11%,Afghani CBD,Dry Mouth,Dry Eyes,Dizzy,Headache,,width:100%,width:52%,width:39%,width:4%,,50,4.6,Indica
Creative,Euphoric,Focused,Giggly,Happy,width:100%,width:100%,width:100%,width:100%,width:100%,,,,Akr,Depression,Fatigue,Muscle Spasms,Pain,Stress,width:100%,width:100%,width:100%,width:100%,width:100%,Afghani Krush,,,,,,,,,,,1,5.0,Hybrid
